ID,NatureCode,Result
125,652,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
126,653,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
127,661,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
128,671,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
129,672,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
130,700,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
131,710,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
132,711,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
133,712,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
134,713,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
135,714,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
136,715,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
137,721,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
138,730,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
139,731,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
140,732,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
141,733,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
142,734,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
143,735,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
144,736,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
145,740,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
146,741,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
147,742,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
148,743,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
149,744,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
150,745,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
151,746,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
152,751,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
153,800,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
154,812,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
155,813,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
156,814,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
157,815,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
158,900,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
159,911,1Engine 0BC 0Ladder 0Brush 0Truck 0Rescue 0Hazmat 0 0Medic 
