ID	Result	NatureCode
2017-000673	11	321
2017-000674	1	324
2017-000675	1	324
2017-000676	11	321
2017-000677	10	311
2017-000678	11	321
2017-000679	11	321
2017-000680	10	311
2017-000681	11	321
2017-000682	1	142
2017-000683	1	745
2017-000684	11	321
2017-000685	11	321
2017-000686	11	321
2017-000687	11	321
2017-000688	1	744
2017-000689	1	324
2017-000690	11	321
2017-000691	10	300
2017-000692	1	324
2017-000693	1	740
2017-000694	11	321
2017-000695	10	311
2017-000696	11	321
2017-000697	11	321
2017-000698	11	321
2017-000699	11	321
2017-000700	11	321
2017-000701	1	324
2017-000702	10	311
2017-000703	11	321
2017-000704	11	321
2017-000705	10	311
2017-000706	10	311
2017-000707	1	531
2017-000708	11	321
2017-000709	1	622
2017-000710	11	321
2017-000711	10	311
2017-000712	11	321
2017-000713	11	321
2017-000714	11	321
2017-000715	1	622
2017-000716	10	311
2017-000717	11	321
2017-000718	11	321
2017-000719	1	611
2017-000720	11	321
2017-000721	10	300
2017-000722	11	321
2017-000723	1	324
2017-000724	10	311
2017-000725	1	743
2017-000726	11	321
2017-000727	1	611
2017-000728	1	324
2017-000729	1010	321
2017-000730	11	321
2017-000731	1	510
2017-000732	11	321
2017-000733	1	611
2017-000734	1	611
2017-000735	11	321
2017-000736	1	611
2017-000737	10	300
2017-000738	11	321
2017-000739	11	321
2017-000740	11	321
2017-000741	11	321
2017-000742	1	322
2017-000743	1	600
2017-000744	10	311
2017-000745	11	321
2017-000746	1	324
2017-000747	1	324
2017-000748	11	321
2017-000749	1	611
2017-000750	1	324
2017-000751	11	321
2017-000752	1	611
2017-000753	11	321
2017-000754	1	622
2017-000755	10	300
2017-000756	11	321
2017-000757	11	321
2017-000758	10	311
2017-000759	11	321
2017-000760	1	324
2017-000761	1	730
2017-000762	10	311
2017-000763	11	321
2017-000764	11	321
2017-000765	1	611
2017-000766	1	622
2017-000767	1010	321
2017-000768	11	321
2017-000769	1	322
2017-000770	1	622
2017-000771	1	324
2017-000772	11	321
2017-000773	10	311
2017-000774	1	735
2017-000775	1	710
2017-000776	1	743
2017-000777	1	324
2017-000778	10	311
2017-000779	1	733
2017-000780	1	440
2017-000781	1	743
2017-000782	1	324
2017-000783	1	322
2017-000784	1	251
2017-000785	1	324
2017-000786	1	652
2017-000787	1	324
2017-000788	1	554
2017-000789	11	321
2017-000790	11	321
2017-000791	1	735
2017-000792	11	321
2017-000793	1	324
2017-000794	1	324
2017-000795	11	321
2017-000796	11	321
2017-000797	10	311
2017-000798	11	321
2017-000799	11	321
2017-000800	11	321
2017-000801	10	311
2017-000802	1	324
2017-000803	1	511
2017-000804	11	321
2017-000805	10	311
2017-000806	10	311
2017-000807	1	611
2017-000808	1	324
2017-000809	1	735
2017-000810	1	510
2017-000811	11	321
2017-000812	11	321
2017-000813	10	300
2017-000814	11	321
