ID	Result	NatureCode
2017-009475	1	730
2017-009476	1	324
2017-009477	10	311
2017-009478	1	622
2017-009479	1	621
2017-009480	11	321
2017-009481	1	611
2017-009482	1	622
2017-009483	10	311
2017-009484	11	321
2017-009485	1	324
2017-009486	1	324
2017-009487	10	311
2017-009488	10	311
2017-009489	10	300
2017-009490	1	700
2017-009491	10	311
2017-009492	1	324
2017-009493	10	311
2017-009494	1	622
2017-009495	1	600
2017-009496	1	552
2017-009497	1	324
2017-009498	10	300
2017-009499	1	324
2017-009500	1	324
2017-009501	1	411
2017-009502	1	324
2017-009503	1	745
2017-009504	1	745
2017-009505	1	113
2017-009506	1	324
2017-009507	11	321
2017-009508	1	324
2017-009509	1	600
2017-009510	11	321
2017-009511	1000	140
2017-009512	1	600
2017-009513	10	311
2017-009514	1	324
2017-009515	1	324
2017-009516	1	621
2017-009517	1	715
2017-009518	11	321
2017-009519	1	600
2017-009520	11	321
2017-009521	11	321
2017-009522	10	311
2017-009523	11	321
2017-009524	1	324
2017-009525	1	600
2017-009526	1	710
2017-009527	1	324
2017-009528	1	324
2017-009529	10	300
2017-009530	10	311
2017-009531	1	322
2017-009532	11	321
2017-009533	10	311
2017-009534	11	321
2017-009535	11	321
2017-009536	11	321
2017-009537	11	321
2017-009538	10	300
2017-009539	1	730
2017-009540	10	311
2017-009541	1	700
2017-009542	11	321
2017-009543	1	444
2017-009544	11	321
2017-009545	1	324
2017-009546	10	311
2017-009547	1	324
2017-009548	1	600
2017-009549	11	321
2017-009550	11	321
2017-009551	11	321
2017-009552	1	600
2017-009553	1000	622
2017-009554	10	311
2017-009555	11	321
2017-009556	10	311
2017-009557	1010	321
2017-009558	11	321
2017-009559	1	324
2017-009560	11	321
2017-009561	1	324
2017-009562	11	321
2017-009563	10	311
2017-009564	11	321
2017-009565	1	740
2017-009566	1	324
2017-009567	1000	736
2017-009568	11	321
2017-009569	1	611
2017-009570	1	324
2017-009571	1	440
2017-009572	11	321
2017-009573	10	311
2017-009574	11	321
2017-009575	11	321
2017-009576	1000	745
2017-009577	1	324
2017-009578	11	321
2017-009579	10	311
2017-009580	1	730
2017-009581	1	622
2017-009582	1010	321
2017-009583	1	745
2017-009584	1	671
2017-009585	10	311
2017-009586	11	321
2017-009587	1	744
2017-009588	11	321
2017-009589	1	743
2017-009590	1	324
2017-009591	10	311
2017-009592	11	321
2017-009593	1	600
2017-009594	1	743
2017-009595	1	324
2017-009596	1	611
2017-009597	11	321
